parent_hash,parent_origin,parent_label,parent_score,best_score_after,best_mode,score0_seen,score_improvement_seen,escaped_false_basin_seen
2f40edc23c194ed4d9ff2c516562b1607eeaabeb08f8e9b4b93732d01098e310,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
3d5e4ae51f89c9ed3537f589a42b623e48c4ff8afef85586fda4d8af7583bff2,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
451cec2bce04e697e9c249163c98e0abf8e1417c18144d64b4fa37e0a078becf,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
4900e9deef692eb0a4ad219834572ced5215d379ad5f2ee740d45308624066d4,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
8234e0fee3c8f46b460620f03195992ba9b8b69fdd621084335b8f802fd807da,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
8689b319a708202cac10b4a0d189a0007466cea447ad239a7e0819713573f9c6,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
87eadfb3f68db61eb9396c793917b8ac9d9569884cab099e5042d548f3c48200,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
bc3267f35453caa28fd048d8d8f52a327bc4b6903556577ae1f79c87720d021f,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
c72ffd1d662a0fdd6857b5550a4b7f1aee0866176819702f99737a4b5ebde84b,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
f0f2cc2e407d18c614df2d4cf2dd9aabf2412e8155fb65a72f780597c0998f51,search_derived,search_score4_false_like,4,4,baseline_no_repair,False,False,True
29ea98a01cef6bbfc299e3d44d5add70dfb1f14048b94e4109342460e1cb4f13,exact_derived,exact_derived_positive_control,12,0,threshold_accepting_repair,True,True,False
a0eee580e70e963cf44c90d525e3962084993a3adca727cc74bce5ee67d76258,exact_derived,exact_derived_positive_control,12,0,threshold_accepting_repair,True,True,False
04efe529c9abf0fc9f469c490473f4472fb40c270b52a41ee79b54525c5fb89c,exact_derived,exact_derived_positive_control,16,0,sparse_vector_cancellation_beam,True,True,False
059b1fd4f3b38d03da1b1dfd51ba9226bc3fca40a8fbf3a8e46b6d1d20aa9bce,exact_derived,exact_derived_positive_control,16,0,sparse_vector_cancellation_beam,True,True,False
10701120baa37f0a9c1dbe3b8666bc7bf38256bef079d51b0ee28b584f4fa6ab,exact_derived,exact_derived_positive_control,16,0,sparse_vector_cancellation_beam,True,True,False
44a178766f2975a22c73ee78b6a244777747ddfeae755663ec39726ee3f679f3,exact_derived,exact_derived_positive_control,16,0,sparse_vector_cancellation_beam,True,True,False
46cb7cf407136c3e80d2ef23328c75991a678042106c76b4b8014931edb7a6d9,exact_derived,exact_derived_positive_control,16,0,sparse_vector_cancellation_beam,True,True,False
583352dc4905ff390fdacae7c7513ef6ef8d13fb1dea27f9d7c9303747780528,exact_derived,exact_derived_positive_control,16,0,threshold_accepting_repair,True,True,False
69e7ae3c3963dfece4894119f5473446fb4757c9b25379b3f68928ea1786eb24,exact_derived,exact_derived_positive_control,16,0,threshold_accepting_repair,True,True,False
6b0070e026b3279e0192bf5194332ef2ac221f7ab08dca0ff834652b7143334e,exact_derived,exact_derived_positive_control,16,0,threshold_accepting_repair,True,True,False
